Problem ID, Objective, Elapsed Time
init_mmmq_1,2300.28,1.93
init_mmmq_10,1900.45,0.06
init_mmmq_2,1423.55,0.05
init_mmmq_3,2100.36,0.08
init_mmmq_4,1003.12,0.03
init_mmmq_5,2284.89,0.13
init_mmmq_6,1510.84,0.01
init_mmmq_7,1853.08,0.03
init_mmmq_8,746.38,0.03
init_mmmq_9,3212.9,0.08
updated_mmmq_1,853.88,2.54
updated_mmmq_10,348.4,0.09
updated_mmmq_2,-509.88,0.06
updated_mmmq_3,569.93,0.06
updated_mmmq_4,-717.42,0.05
updated_mmmq_5,-278.22,2.75
updated_mmmq_6,28.75,0.02
updated_mmmq_7,444.69,0.06
updated_mmmq_8,-870.62,0.09
updated_mmmq_9,1547.97,0.17
