Problem ID, Objective, Elapsed Time
init_mmms_1,-1113.56,0.06
init_mmms_10,-1812.44,0.11
init_mmms_2,-1990.32,0.03
init_mmms_3,-1247.71,0.05
init_mmms_4,-1133.23,0.09
init_mmms_5,-1288.81,0.06
init_mmms_6,-1639.47,0.06
init_mmms_7,-1224.96,0.06
init_mmms_8,-1478.63,0.06
init_mmms_9,-1550.21,0.06
updated_mmms_1,-2872.78,0.03
updated_mmms_10,-3475.89,0.02
updated_mmms_2,-3463.35,0.01
updated_mmms_3,-3546.31,0.05
updated_mmms_4,-2565.27,0.05
updated_mmms_5,-3231.38,0.06
updated_mmms_6,-3326.15,0.03
updated_mmms_7,-3387.24,0.09
updated_mmms_8,-3395.38,0.02
updated_mmms_9,-3451.15,0.02
