Problem ID, Objective, Elapsed Time
init_mmpq_1,1297.72,0.11
init_mmpq_10,2545.44,0.17
init_mmpq_2,1486.9,0.05
init_mmpq_3,1676.15,0.08
init_mmpq_4,1324.55,0.02
init_mmpq_5,1592.3,0.11
init_mmpq_6,1043.22,0.02
init_mmpq_7,1761.67,2.82
init_mmpq_8,3090.06,0.09
init_mmpq_9,1821.29,0.06
updated_mmpq_1,-3889.49,0.06
updated_mmpq_10,-3256.84,0.17
updated_mmpq_2,-2866.01,0.11
updated_mmpq_3,-3420.92,0.08
updated_mmpq_4,-3163.37,0.03
updated_mmpq_5,-2798.45,0.13
updated_mmpq_6,-3434.83,0.06
updated_mmpq_7,-3757.86,2.11
updated_mmpq_8,-725.75,0.13
updated_mmpq_9,-3991.61,0.09
