Problem ID, Objective, Elapsed Time
init_mmps_1,-2025.27,0.06
init_mmps_10,-667.65,0.09
init_mmps_2,-1887.73,0.06
init_mmps_3,-1494.63,0.03
init_mmps_4,-1824.86,0.03
init_mmps_5,-1295.54,0.09
init_mmps_6,-1375.03,0.05
init_mmps_7,-1926.27,0.03
init_mmps_8,-1438.73,0.05
init_mmps_9,-1484.93,0.02
updated_mmps_1,-6708.68,0.06
updated_mmps_10,-6991.71,0.06
updated_mmps_2,-6645.91,0.03
updated_mmps_3,-6866.51,0.03
updated_mmps_4,-7078.22,0.02
updated_mmps_5,-6948.24,0.02
updated_mmps_6,-7228.65,0.06
updated_mmps_7,-7886.56,0.02
updated_mmps_8,-6387.26,0.03
updated_mmps_9,-7060.7,0.03
