Problem ID, Objective, Elapsed Time
init_mpmq_1,-16594.58,0.08
init_mpmq_10,-13608.39,0.03
init_mpmq_2,-14895.15,0.13
init_mpmq_3,-13460.77,0.06
init_mpmq_4,-13800.29,0.05
init_mpmq_5,-14600.86,0.05
init_mpmq_6,-14107.32,0.08
init_mpmq_7,-15306.34,0.09
init_mpmq_8,-14527.75,0.09
init_mpmq_9,-15109.07,2.17
updated_mpmq_1,-30421.3,0.05
updated_mpmq_10,-25507.85,0.02
updated_mpmq_2,-26703.83,0.05
updated_mpmq_3,-25294.19,0.05
updated_mpmq_4,-26610.44,0.02
updated_mpmq_5,-26719.91,0.03
updated_mpmq_6,-28097.83,0.03
updated_mpmq_7,-28904.61,0.03
updated_mpmq_8,-27374,0.11
updated_mpmq_9,-29621.6,0.03
