Problem ID, Objective, Elapsed Time
init_mpms_1,-17246.87,0.08
init_mpms_10,-15436.75,0.06
init_mpms_2,-17733.68,0.11
init_mpms_3,-17926.92,0.08
init_mpms_4,-17969.22,0.03
init_mpms_5,-18697.35,0.11
init_mpms_6,-17385.88,0.05
init_mpms_7,-19081.74,0.13
init_mpms_8,-17480.06,0.09
init_mpms_9,-18837.5,0.06
updated_mpms_1,-30105.01,0.09
updated_mpms_10,-26876.73,0.02
updated_mpms_2,-30144.73,0.03
updated_mpms_3,-29909,0.03
updated_mpms_4,-30099.6,0.05
updated_mpms_5,-31714.5,0.03
updated_mpms_6,-29213.67,0.02
updated_mpms_7,-31674.9,0.11
updated_mpms_8,-28802.91,0.05
updated_mpms_9,-32433.73,0.03
