Problem ID, Objective, Elapsed Time
init_mppq_1,-16323.24,0.09
init_mppq_10,-12526.86,0.05
init_mppq_2,-15601,0.14
init_mppq_3,-13324.21,0.09
init_mppq_4,-15792.39,0.16
init_mppq_5,-14217.93,0.03
init_mppq_6,-12591.78,0.02
init_mppq_7,-14372.63,0.08
init_mppq_8,-14505.07,0.19
init_mppq_9,-14854.05,0.11
updated_mppq_1,-55284.99,0.05
updated_mppq_10,-35183.71,0.02
updated_mppq_2,-51513.11,0.03
updated_mppq_3,-41797.83,0.05
updated_mppq_4,-49117.19,0.03
updated_mppq_5,-45180.38,0.05
updated_mppq_6,-45261.68,0.05
updated_mppq_7,-45113.19,0.05
updated_mppq_8,-49547.87,0.03
updated_mppq_9,-44621.73,0.06
