Problem ID, Objective, Elapsed Time
init_mpps_1,-17670.03,0.05
init_mpps_10,-21358.62,0.20
init_mpps_2,-16566.1,0.09
init_mpps_3,-19683.22,0.27
init_mpps_4,-19243.17,0.16
init_mpps_5,-17613.2,0.06
init_mpps_6,-18726.76,0.09
init_mpps_7,-17368.3,0.20
init_mpps_8,-19138.36,0.11
init_mpps_9,-17656.12,0.06
updated_mpps_1,-52053.82,0.08
updated_mpps_10,-56748.11,0.03
updated_mpps_2,-46026.27,0.03
updated_mpps_3,-52900.4,0.09
updated_mpps_4,-53776.64,0.03
updated_mpps_5,-49890.84,0.02
updated_mpps_6,-48212.14,0.03
updated_mpps_7,-43769.88,0.05
updated_mpps_8,-52969.99,0.03
updated_mpps_9,-45100.5,0.03
