Problem ID, Objective, Elapsed Time
init_pmmq_1,-5854.95,1.93
init_pmmq_10,-3428.71,0.13
init_pmmq_2,161.03,0.42
init_pmmq_3,-3114.76,0.14
init_pmmq_4,-171.06,0.20
init_pmmq_5,-3283.13,0.28
init_pmmq_6,-7155.11,0.08
init_pmmq_7,-810.01,0.47
init_pmmq_8,-1017.47,0.22
init_pmmq_9,-1862.03,0.17
updated_pmmq_1,-14153.75,1.64
updated_pmmq_10,-10505.67,0.09
updated_pmmq_2,-8442.63,0.23
updated_pmmq_3,-11167.53,0.14
updated_pmmq_4,-7962.92,0.70
updated_pmmq_5,-12712.17,0.26
updated_pmmq_6,-16833.56,0.08
updated_pmmq_7,-10331.81,0.67
updated_pmmq_8,-7475.62,0.12
updated_pmmq_9,-9356.33,1.34
