Problem ID, Objective, Elapsed Time
init_pmms_1,-6762.48,0.78
init_pmms_10,-9971.99,0.38
init_pmms_2,-7945.31,0.36
init_pmms_3,-9070.97,0.25
init_pmms_4,-13149.1,0.27
init_pmms_5,-11024.87,0.25
init_pmms_6,-8132.71,0.31
init_pmms_7,-8404.42,0.30
init_pmms_8,-12091.66,0.14
init_pmms_9,-11133.01,0.19
updated_pmms_1,-15571.97,0.14
updated_pmms_10,-17612.44,0.08
updated_pmms_2,-15166.85,0.11
updated_pmms_3,-16681.73,0.09
updated_pmms_4,-22723.17,0.11
updated_pmms_5,-21629.53,0.08
updated_pmms_6,-15539.14,0.08
updated_pmms_7,-15676.32,0.08
updated_pmms_8,-20562.5,0.06
updated_pmms_9,-19044.75,0.06
