Problem ID, Objective, Elapsed Time
init_pmpq_1,-6408.27,4.33
init_pmpq_10,-7439.42,3.61
init_pmpq_2,-9363.15,3.80
init_pmpq_3,-5107.56,7.08
init_pmpq_4,-7169.87,4.20
init_pmpq_5,-6243.24,4.14
init_pmpq_6,-5728.49,4.13
init_pmpq_7,-2949.7,6.53
init_pmpq_8,-6987.81,0.53
init_pmpq_9,-4700.98,1.47
updated_pmpq_1,-44632.84,0.44
updated_pmpq_10,-53347.83,1.02
updated_pmpq_2,-53032.2,0.73
updated_pmpq_3,-47749.22,0.59
updated_pmpq_4,-59724.09,0.55
updated_pmpq_5,-45515.72,0.42
updated_pmpq_6,-55031.26,0.55
updated_pmpq_7,-48489.51,5.13
updated_pmpq_8,-54189.9,0.45
updated_pmpq_9,-53454.71,0.84
