Problem ID, Objective, Elapsed Time
init_pmps_1,-58592.32,8.36
init_pmps_10,-58197.9,30.69
init_pmps_2,-57077.32,23.45
init_pmps_3,-58254.5,36.00
init_pmps_4,-57911.18,19.83
init_pmps_5,-63053.48,26.61
init_pmps_6,-60960.88,26.39
init_pmps_7,-57121.47,9.66
init_pmps_8,-58305.17,21.42
init_pmps_9,-54527.83,6.05
updated_pmps_1,-190584,0.56
updated_pmps_10,-188907.8,0.55
updated_pmps_2,-183001.2,0.69
updated_pmps_3,-177242.2,0.58
updated_pmps_4,-188748.4,0.55
updated_pmps_5,-197644.9,0.61
updated_pmps_6,-189039.9,0.63
updated_pmps_7,-179560.4,0.58
updated_pmps_8,-180116,1.02
updated_pmps_9,-173124.7,0.63
