Problem ID, Objective, Elapsed Time
init_ppmq_1,-150876.3,52.81
init_ppmq_10,-158718.2,6.19
init_ppmq_2,-140103.4,22.20
init_ppmq_3,-165415,190.75
init_ppmq_4,-147757.8,15.63
init_ppmq_5,-162539,26.67
init_ppmq_6,-159830.1,15.75
init_ppmq_7,-154357.3,41.36
init_ppmq_8,-160140.6,3.25
init_ppmq_9,-164312.5,110.25
updated_ppmq_1,-255119.8,0.48
updated_ppmq_10,-262300.1,0.42
updated_ppmq_2,-235338.7,0.47
updated_ppmq_3,-274336.5,0.55
updated_ppmq_4,-247376.7,0.41
updated_ppmq_5,-274052.2,0.47
updated_ppmq_6,-265361.7,0.41
updated_ppmq_7,-255645.9,0.50
updated_ppmq_8,-263065,0.42
updated_ppmq_9,-270330,0.48
