Problem ID, Objective, Elapsed Time
init_pppq_1,-144280.7,8.17
init_pppq_10,-160773.7,33.03
init_pppq_2,-139786.7,12.34
init_pppq_3,-153330.6,14.06
init_pppq_4,-163235.3,19.95
init_pppq_5,-164780.5,26.20
init_pppq_6,-151277.8,23.00
init_pppq_7,-152821,80.72
init_pppq_8,-163059.9,24.17
init_pppq_9,-163252.5,17.92
updated_pppq_1,-379292,0.42
updated_pppq_10,-431143.1,0.52
updated_pppq_2,-356426.9,0.44
updated_pppq_3,-409732,0.61
updated_pppq_4,-418027.8,0.48
updated_pppq_5,-426371.5,0.48
updated_pppq_6,-397392.8,0.63
updated_pppq_7,-406111.1,0.52
updated_pppq_8,-444932.1,0.52
updated_pppq_9,-428541,0.45
