Problem ID, Objective, Elapsed Time
init_ppps_1,-249208.8,92.75
init_ppps_10,-247444.1,17.78
init_ppps_2,-254621.5,82.11
init_ppps_3,-239302.2,93.83
init_ppps_4,-254314.2,77.09
init_ppps_5,-254581.5,83.50
init_ppps_6,-261585.6,58.09
init_ppps_7,-251173.8,87.88
init_ppps_8,-242440.2,77.36
init_ppps_9,-249481.2,78.52
updated_ppps_1,-598951.3,0.28
updated_ppps_10,-580287.7,0.28
updated_ppps_2,-606746,0.25
updated_ppps_3,-571412.5,0.23
updated_ppps_4,-611429.5,0.27
updated_ppps_5,-607655.6,0.23
updated_ppps_6,-653817.2,0.39
updated_ppps_7,-587364,0.25
updated_ppps_8,-597514.5,0.23
updated_ppps_9,-605385.7,0.25
