Problem ID, Objective, Elapsed Time
init_mpmq_1,-22415.31,0.08
init_mpmq_10,-24014.27,0.11
init_mpmq_2,-21170.31,0.16
init_mpmq_3,-23899.31,0.11
init_mpmq_4,-22921.44,0.23
init_mpmq_5,-23183.15,0.09
init_mpmq_6,-22783.35,0.14
init_mpmq_7,-22749.63,0.13
init_mpmq_8,-22654.07,0.23
init_mpmq_9,-22733.91,0.11
updated_mpmq_1,-39478.58,0.03
updated_mpmq_10,-42704.32,0.03
updated_mpmq_2,-38769.81,0.05
updated_mpmq_3,-42102.21,0.03
updated_mpmq_4,-41857.19,0.03
updated_mpmq_5,-41438.17,0.06
updated_mpmq_6,-40609.71,0.03
updated_mpmq_7,-40929.27,0.03
updated_mpmq_8,-40332.93,0.03
updated_mpmq_9,-42221.29,0.08
