Problem ID, Objective, Elapsed Time
init_mpms_1,-27368.88,0.11
init_mpms_10,-27657.78,0.11
init_mpms_2,-27038.88,0.11
init_mpms_3,-29804.17,0.11
init_mpms_4,-26861.37,0.09
init_mpms_5,-25737.04,0.19
init_mpms_6,-25436.33,0.09
init_mpms_7,-27772.26,0.14
init_mpms_8,-26681.65,0.13
init_mpms_9,-28150.53,0.09
updated_mpms_1,-45364.98,0.02
updated_mpms_10,-45663.76,0.03
updated_mpms_2,-44697.41,0.02
updated_mpms_3,-49663.56,0.02
updated_mpms_4,-43946.41,0.03
updated_mpms_5,-43383.3,0.02
updated_mpms_6,-42918.83,0.02
updated_mpms_7,-47252.18,0.02
updated_mpms_8,-45509.84,0.03
updated_mpms_9,-46363.27,0.03
