Problem ID, Objective, Elapsed Time
init_mpps_1,-26710.32,0.11
init_mpps_10,-26881.8,0.14
init_mpps_2,-27928.2,0.13
init_mpps_3,-28889.68,0.11
init_mpps_4,-29079.58,0.11
init_mpps_5,-25969,0.11
init_mpps_6,-27167.26,0.09
init_mpps_7,-26944.42,0.09
init_mpps_8,-29369.16,0.14
init_mpps_9,-28111.49,0.08
updated_mpps_1,-71217.03,0.03
updated_mpps_10,-71487.27,0.02
updated_mpps_2,-74030.75,0.02
updated_mpps_3,-77481.77,0.02
updated_mpps_4,-76369.48,0.03
updated_mpps_5,-69914.29,0.03
updated_mpps_6,-68268.28,0.03
updated_mpps_7,-66174,0.03
updated_mpps_8,-77412.57,0.02
updated_mpps_9,-77329.91,0.03
