Problem ID, Objective, Elapsed Time
init_pmmq_1,-749.91,75.42
init_pmmq_10,-429.18,39.36
init_pmmq_2,-485.38,42.44
init_pmmq_3,-712.52,25.05
init_pmmq_4,1996.57,20.45
init_pmmq_5,-2158.48,52.08
init_pmmq_6,-9.41,26.73
init_pmmq_7,-381.56,5.00
init_pmmq_8,3139.42,47.09
init_pmmq_9,119.26,21.27
updated_pmmq_1,-25834.01,4.19
updated_pmmq_10,-25298.09,1.28
updated_pmmq_2,-26062.12,1.66
updated_pmmq_3,-25330.69,1.70
updated_pmmq_4,-20352.49,3.75
updated_pmmq_5,-26972.27,1.86
updated_pmmq_6,-24185.01,1.70
updated_pmmq_7,-25426.45,4.61
updated_pmmq_8,-18224.22,5.81
updated_pmmq_9,-26520.07,3.59
