Problem ID, Objective, Elapsed Time
init_pmms_1,-16680.89,6.86
init_pmms_10,-16360.45,8.19
init_pmms_2,-15659.82,22.56
init_pmms_3,-18208.21,10.66
init_pmms_4,-15701.67,22.30
init_pmms_5,-17553,20.42
init_pmms_6,-17131.81,26.56
init_pmms_7,-14388.35,20.11
init_pmms_8,-17162.14,32.55
init_pmms_9,-15350.16,19.73
updated_pmms_1,-41554.72,0.38
updated_pmms_10,-42210.99,0.42
updated_pmms_2,-39999.6,0.41
updated_pmms_3,-42630.77,0.39
updated_pmms_4,-39319.89,0.39
updated_pmms_5,-43573.86,0.45
updated_pmms_6,-41403.11,0.36
updated_pmms_7,-35699.86,0.39
updated_pmms_8,-40895.68,0.45
updated_pmms_9,-38045.58,0.34
