Problem ID, Objective, Elapsed Time
init_ppms_1,-251437,50.27
init_ppms_10,-249820,57.50
init_ppms_2,-240355,79.22
init_ppms_3,-248458.8,69.97
init_ppms_4,-261684.4,112.38
init_ppms_5,-261164.5,113.13
init_ppms_6,-246854.9,69.03
init_ppms_7,-252762.9,71.47
init_ppms_8,-247672.7,60.97
init_ppms_9,-250177.6,22.36
updated_ppms_1,-394179.7,0.28
updated_ppms_10,-390740.9,0.23
updated_ppms_2,-373556.1,0.22
updated_ppms_3,-388414.7,0.25
updated_ppms_4,-414632.6,0.28
updated_ppms_5,-408326,0.25
updated_ppms_6,-389690.6,0.23
updated_ppms_7,-397558.8,0.25
updated_ppms_8,-388638.7,0.27
updated_ppms_9,-392243.1,0.22
