Problem ID, Objective, Elapsed Time
init_pppq_1,-233341.2,17.84
init_pppq_10,-235507.4,61.89
init_pppq_2,-232530.9,104.20
init_pppq_3,-232794.5,94.45
init_pppq_4,-235946.8,84.67
init_pppq_5,-240338.9,66.30
init_pppq_6,-234060.9,43.80
init_pppq_7,-249660.9,93.16
init_pppq_8,-235182.1,104.78
init_pppq_9,-230937.4,91.34
updated_pppq_1,-573879,0.97
updated_pppq_10,-593615,0.98
updated_pppq_2,-619357.5,1.05
updated_pppq_3,-591553.2,1.06
updated_pppq_4,-605591.7,1.17
updated_pppq_5,-608909.4,0.94
updated_pppq_6,-620168.7,1.11
updated_pppq_7,-620661.4,0.94
updated_pppq_8,-610733.7,1.06
updated_pppq_9,-573168.2,1.25
