Problem ID, Objective, Elapsed Time
init_mppq_1,-23434.83,0.17
init_mppq_10,-22422.94,0.09
init_mppq_2,-22276.01,0.19
init_mppq_3,-22036.58,0.09
init_mppq_4,-23290.9,0.13
init_mppq_5,-23515.77,0.08
init_mppq_6,-23726.04,0.11
init_mppq_7,-23827.62,0.08
init_mppq_8,-24282.61,0.13
init_mppq_9,-23950.76,0.13
updated_mppq_1,-72434.93,0.05
updated_mppq_10,-70584.22,0.05
updated_mppq_2,-64866.94,0.06
updated_mppq_3,-68104.81,0.08
updated_mppq_4,-64922.16,0.03
updated_mppq_5,-71219.97,0.05
updated_mppq_6,-68632.74,0.03
updated_mppq_7,-71661.37,0.03
updated_mppq_8,-77467.02,0.05
updated_mppq_9,-69556.89,0.03
