Problem ID, Objective, Elapsed Time
init_ppmq_1,-237904.8,101.25
init_ppmq_10,-226403.9,96.86
init_ppmq_2,-232393.9,89.67
init_ppmq_3,-237473.3,19.19
init_ppmq_4,-222980.9,78.89
init_ppmq_5,-232672.8,106.94
init_ppmq_6,-236153.2,27.48
init_ppmq_7,-234926.2,83.45
init_ppmq_8,-234788.5,83.38
init_ppmq_9,-234392.4,62.59
updated_ppmq_1,-383666.7,0.92
updated_ppmq_10,-369529.6,1.03
updated_ppmq_2,-374779.4,0.94
updated_ppmq_3,-385687.1,0.94
updated_ppmq_4,-354059.7,0.97
updated_ppmq_5,-380290.3,0.89
updated_ppmq_6,-384948.4,0.98
updated_ppmq_7,-382028.5,0.94
updated_ppmq_8,-378699.3,0.95
updated_ppmq_9,-375527,1.05
