Problem ID, Objective, Elapsed Time
init_mmmq_1,826.5952,0.08
init_mmmq_10,2000.332,0.06
init_mmmq_2,1105.538,0.05
init_mmmq_3,743.357,0.05
init_mmmq_4,1357.038,0.20
init_mmmq_5,1264.097,0.05
init_mmmq_6,653.6043,0.05
init_mmmq_7,1157.811,0.05
init_mmmq_8,110.327,0.22
init_mmmq_9,252.8473,0.22
updated_mmmq_1,-4240.99,0.08
updated_mmmq_10,-2942.08,0.11
updated_mmmq_2,-4304.124,0.25
updated_mmmq_3,-4735.09,0.05
updated_mmmq_4,-3193.188,0.06
updated_mmmq_5,-3452.987,0.05
updated_mmmq_6,-4860.773,0.06
updated_mmmq_7,-4119.524,0.06
updated_mmmq_8,-6060.155,0.06
updated_mmmq_9,-5112.387,0.24
