Problem ID, Objective, Elapsed Time
init_mmms_1,-7552.963,0.05
init_mmms_10,-7575.905,0.06
init_mmms_2,-7878.942,0.19
init_mmms_3,-7121.146,0.06
init_mmms_4,-8151.844,0.05
init_mmms_5,-7698.21,0.06
init_mmms_6,-7270.099,0.26
init_mmms_7,-7726.22,0.20
init_mmms_8,-9014.033,0.06
init_mmms_9,-7425.872,0.06
updated_mmms_1,-12469.92,0.05
updated_mmms_10,-12999.43,0.05
updated_mmms_2,-12795.64,0.06
updated_mmms_3,-11693.97,0.08
updated_mmms_4,-13422.96,0.06
updated_mmms_5,-13175.76,0.06
updated_mmms_6,-12791.07,0.08
updated_mmms_7,-12630.23,0.06
updated_mmms_8,-14992.03,0.06
updated_mmms_9,-12620.85,0.06
