Problem ID, Objective, Elapsed Time
init_mpmq_1,-17919.46,0.03
init_mpmq_10,-17973.43,0.05
init_mpmq_2,-17544.46,0.14
init_mpmq_3,-17751.28,0.06
init_mpmq_4,-18156.34,0.05
init_mpmq_5,-18963.25,0.05
init_mpmq_6,-20426.04,0.05
init_mpmq_7,-18754.76,0.05
init_mpmq_8,-18442.18,0.05
init_mpmq_9,-18907.97,0.05
updated_mpmq_1,-33633.77,0.05
updated_mpmq_10,-31937.36,0.05
updated_mpmq_2,-32287.93,0.06
updated_mpmq_3,-31841.41,0.05
updated_mpmq_4,-33880.72,0.02
updated_mpmq_5,-34676.37,0.05
updated_mpmq_6,-36987.4,0.05
updated_mpmq_7,-33718.36,0.05
updated_mpmq_8,-34129.13,0.05
updated_mpmq_9,-34381.67,0.03
