Problem ID, Objective, Elapsed Time
init_mppq_1,-17351.5,0.05
init_mppq_10,-18424.74,0.05
init_mppq_2,-18322.43,0.05
init_mppq_3,-18604.64,0.05
init_mppq_4,-17304.52,0.05
init_mppq_5,-18820.52,0.03
init_mppq_6,-18788.92,0.03
init_mppq_7,-17330.81,0.05
init_mppq_8,-17163.77,0.05
init_mppq_9,-18634.06,0.05
updated_mppq_1,-58281.56,0.0
updated_mppq_10,-55160.88,0.05
updated_mppq_2,-54946.96,0.05
updated_mppq_3,-56332.23,0.01
updated_mppq_4,-51568.36,0.03
updated_mppq_5,-53649.52,0.03
updated_mppq_6,-59296.05,0.0
updated_mppq_7,-51040.54,0.03
updated_mppq_8,-52987.28,0.03
updated_mppq_9,-59812.41,0.03
