Problem ID, Objective, Elapsed Time
init_mpps_1,-29151.96,0.06
init_mpps_10,-26875.09,0.05
init_mpps_2,-27134.8,0.05
init_mpps_3,-26503.64,0.03
init_mpps_4,-25802.41,0.06
init_mpps_5,-26315.64,0.05
init_mpps_6,-27930.72,0.05
init_mpps_7,-24259.93,0.05
init_mpps_8,-27117.15,0.05
init_mpps_9,-27792.34,0.05
updated_mpps_1,-72979.75,0.03
updated_mpps_10,-64305.45,0.03
updated_mpps_2,-58468.53,0.03
updated_mpps_3,-60560.43,0.03
updated_mpps_4,-61773.69,0.05
updated_mpps_5,-62401.53,0.03
updated_mpps_6,-67453.06,0.03
updated_mpps_7,-57373.59,0.05
updated_mpps_8,-62515.4,0.05
updated_mpps_9,-65091.83,0.05
