Problem ID, Objective, Elapsed Time
init_pmpq_1,-42770.48,0.75
init_pmpq_10,-39208.36,0.81
init_pmpq_2,-42138.57,1.23
init_pmpq_3,-46721.2,0.73
init_pmpq_4,-43770.72,0.75
init_pmpq_5,-39800.26,0.75
init_pmpq_6,-45539.92,1.02
init_pmpq_7,-45630.4,0.83
init_pmpq_8,-43854.53,0.75
init_pmpq_9,-46408.73,1.00
updated_pmpq_1,-154607.2,0.86
updated_pmpq_10,-153390.5,2.06
updated_pmpq_2,-157121.9,1.13
updated_pmpq_3,-157195.3,1.34
updated_pmpq_4,-152031.5,0.75
updated_pmpq_5,-149982.8,1.81
updated_pmpq_6,-156267,1.03
updated_pmpq_7,-160501.2,1.00
updated_pmpq_8,-150097.4,0.89
updated_pmpq_9,-157266.8,1.08
