Problem ID, Objective, Elapsed Time
init_ppmq_1,-212191.4,0.89
init_ppmq_10,-224454.9,0.86
init_ppmq_2,-210453.5,0.67
init_ppmq_3,-200462.6,0.89
init_ppmq_4,-208667.7,1.03
init_ppmq_5,-212911.4,0.70
init_ppmq_6,-217615.5,1.08
init_ppmq_7,-206472.7,0.88
init_ppmq_8,-218252.9,0.88
init_ppmq_9,-213186.5,0.84
updated_ppmq_1,-343647.5,0.69
updated_ppmq_10,-361935,0.84
updated_ppmq_2,-332199.3,0.69
updated_ppmq_3,-324673.4,0.88
updated_ppmq_4,-336146.6,0.67
updated_ppmq_5,-334403.6,0.86
updated_ppmq_6,-349477.2,0.67
updated_ppmq_7,-330542.3,1.52
updated_ppmq_8,-349595.5,0.69
updated_ppmq_9,-349958.5,0.67
