Problem ID, Objective, Elapsed Time
init_pppq_1,-216442,0.86
init_pppq_10,-219948.2,0.69
init_pppq_2,-209023.8,0.88
init_pppq_3,-227997.4,0.86
init_pppq_4,-215634.2,1.06
init_pppq_5,-212479.5,0.89
init_pppq_6,-213559.4,0.88
init_pppq_7,-201610.8,1.55
init_pppq_8,-213132.6,0.89
init_pppq_9,-212654.3,0.69
updated_pppq_1,-540439.5,0.88
updated_pppq_10,-536167.4,0.86
updated_pppq_2,-516147.4,0.88
updated_pppq_3,-567781.9,1.08
updated_pppq_4,-553718.5,0.67
updated_pppq_5,-512988.2,1.56
updated_pppq_6,-548465.5,0.86
updated_pppq_7,-505454.5,0.86
updated_pppq_8,-553732.7,0.89
updated_pppq_9,-524224.7,0.70
