Problem ID, Objective, Elapsed Time
init_ppps_1,-245938.9,0.70
init_ppps_10,-241424.6,0.88
init_ppps_2,-248856.7,1.72
init_ppps_3,-248970.6,1.06
init_ppps_4,-252811.3,0.70
init_ppps_5,-251749.8,0.88
init_ppps_6,-248945,1.05
init_ppps_7,-252694.8,1.11
init_ppps_8,-250696.3,0.72
init_ppps_9,-246969,0.91
updated_ppps_1,-562041.8,0.67
updated_ppps_10,-566606.9,0.67
updated_ppps_2,-565733.9,0.67
updated_ppps_3,-581533.7,0.69
updated_ppps_4,-568806.7,0.67
updated_ppps_5,-578556.2,0.69
updated_ppps_6,-568791.3,0.67
updated_ppps_7,-591777.8,1.36
updated_ppps_8,-577131.6,0.67
updated_ppps_9,-557359.7,0.66
