Problem ID, Objective, Elapsed Time
init_mmmq_1,1005.52,0.56
init_mmmq_10,1239.8,0.52
init_mmmq_2,1560.59,0.58
init_mmmq_3,2114.28,0.61
init_mmmq_4,1484.3,0.53
init_mmmq_5,1157.41,0.61
init_mmmq_6,1638.45,0.72
init_mmmq_7,1696.3,0.83
init_mmmq_8,1203.13,0.69
init_mmmq_9,873.12,1.70
updated_mmmq_1,-4751.01,0.23
updated_mmmq_10,-4895.01,0.23
updated_mmmq_2,-4002.66,0.48
updated_mmmq_3,-3051.19,0.47
updated_mmmq_4,-4917.73,0.81
updated_mmmq_5,-4655.48,0.30
updated_mmmq_6,-4019.5,1.95
updated_mmmq_7,-3512.02,0.22
updated_mmmq_8,-5200.67,0.28
updated_mmmq_9,-5408.05,0.38
