Problem ID, Objective, Elapsed Time
init_mmms_1,-2844.28,1.03
init_mmms_10,-3522.18,0.55
init_mmms_2,-3532.7,0.56
init_mmms_3,-3363.77,0.64
init_mmms_4,-2794.61,0.59
init_mmms_5,-2950.86,0.52
init_mmms_6,-3277.91,0.97
init_mmms_7,-3563.43,0.45
init_mmms_8,-2849.51,0.55
init_mmms_9,-2923.75,0.50
updated_mmms_1,-8603.77,0.08
updated_mmms_10,-10075.49,0.08
updated_mmms_2,-9620.84,0.08
updated_mmms_3,-9817.47,0.06
updated_mmms_4,-9004.02,0.08
updated_mmms_5,-8853.49,0.08
updated_mmms_6,-10175.18,0.08
updated_mmms_7,-9775.79,0.08
updated_mmms_8,-8779.75,0.08
updated_mmms_9,-9212.51,0.08
