Problem ID, Objective, Elapsed Time
init_mmpq_1,1570.12,0.53
init_mmpq_10,876.79,0.59
init_mmpq_2,1398.99,0.80
init_mmpq_3,2076.23,0.94
init_mmpq_4,1629.74,0.52
init_mmpq_5,890.77,2.94
init_mmpq_6,675.56,2.75
init_mmpq_7,989.62,0.86
init_mmpq_8,1073.45,0.61
init_mmpq_9,799.48,0.61
updated_mmpq_1,-13399.41,0.75
updated_mmpq_10,-14793.99,0.27
updated_mmpq_2,-11863.61,0.30
updated_mmpq_3,-12187.29,0.38
updated_mmpq_4,-12935.58,0.30
updated_mmpq_5,-14331.85,0.50
updated_mmpq_6,-16027.61,0.25
updated_mmpq_7,-15173.09,0.95
updated_mmpq_8,-14741.25,0.28
updated_mmpq_9,-14146.53,0.20
