Problem ID, Objective, Elapsed Time
init_mmps_1,-3376.35,0.47
init_mmps_10,-2905.29,0.56
init_mmps_2,-2874.26,0.44
init_mmps_3,-3534.07,3.31
init_mmps_4,-3527.04,1.03
init_mmps_5,-3687.77,0.52
init_mmps_6,-3694.72,0.48
init_mmps_7,-3226.24,3.20
init_mmps_8,-3634.51,0.31
init_mmps_9,-3123.42,0.61
updated_mmps_1,-19758.77,0.06
updated_mmps_10,-17653.23,0.06
updated_mmps_2,-17828.55,0.06
updated_mmps_3,-20006.27,0.06
updated_mmps_4,-19092.67,0.06
updated_mmps_5,-21634.17,0.06
updated_mmps_6,-18559.15,0.06
updated_mmps_7,-19554.72,0.06
updated_mmps_8,-19938.54,0.06
updated_mmps_9,-19286.95,0.06
