Problem ID, Objective, Elapsed Time
init_mpmq_1,-22738.62,0.08
init_mpmq_10,-23042.26,0.08
init_mpmq_2,-24452.17,0.09
init_mpmq_3,-22592.05,0.09
init_mpmq_4,-22726.64,0.20
init_mpmq_5,-22617.73,0.11
init_mpmq_6,-21586.86,0.08
init_mpmq_7,-21566.53,0.09
init_mpmq_8,-23603.81,0.11
init_mpmq_9,-22859.46,0.11
updated_mpmq_1,-41161.78,0.03
updated_mpmq_10,-41325.09,0.03
updated_mpmq_2,-44166.11,0.03
updated_mpmq_3,-39988.23,0.05
updated_mpmq_4,-40495.74,0.03
updated_mpmq_5,-40734.87,0.03
updated_mpmq_6,-39174.95,0.03
updated_mpmq_7,-38870.4,0.03
updated_mpmq_8,-42625.73,0.03
updated_mpmq_9,-41494.45,0.03
