Problem ID, Objective, Elapsed Time
init_mpms_1,-25379.29,0.08
init_mpms_10,-28794.79,0.11
init_mpms_2,-27040.66,0.13
init_mpms_3,-29906.14,0.09
init_mpms_4,-27538.5,0.09
init_mpms_5,-25989.49,0.08
init_mpms_6,-29149.44,0.08
init_mpms_7,-27235.93,0.09
init_mpms_8,-27274.79,0.11
init_mpms_9,-25518.34,0.16
updated_mpms_1,-43588.34,0.02
updated_mpms_10,-48044.1,0.03
updated_mpms_2,-46898.34,0.03
updated_mpms_3,-48664.44,0.01
updated_mpms_4,-45870.35,0.02
updated_mpms_5,-43583.3,0.02
updated_mpms_6,-49434.5,0.02
updated_mpms_7,-44541.19,0.02
updated_mpms_8,-44160.06,0.03
updated_mpms_9,-43029.05,0.03
