Problem ID, Objective, Elapsed Time
init_mppq_1,-23226.41,0.06
init_mppq_10,-24714.43,0.11
init_mppq_2,-24214.11,0.11
init_mppq_3,-22255.2,0.08
init_mppq_4,-22817.27,0.06
init_mppq_5,-24615.25,0.08
init_mppq_6,-22401.91,0.08
init_mppq_7,-23095.22,0.11
init_mppq_8,-21793.38,0.09
init_mppq_9,-23199.46,0.09
updated_mppq_1,-65148.32,0.03
updated_mppq_10,-70106.6,0.03
updated_mppq_2,-75270.44,0.03
updated_mppq_3,-71093.14,0.03
updated_mppq_4,-63403.68,0.03
updated_mppq_5,-72833.3,0.03
updated_mppq_6,-62600.61,0.05
updated_mppq_7,-67097.43,0.03
updated_mppq_8,-65204.87,0.03
updated_mppq_9,-68269.16,0.03
