Problem ID, Objective, Elapsed Time
init_mpps_1,-28340.8,0.08
init_mpps_10,-28172.5,0.08
init_mpps_2,-28762.89,0.06
init_mpps_3,-27216.24,0.11
init_mpps_4,-27599.75,0.08
init_mpps_5,-28028.41,0.08
init_mpps_6,-25819.43,0.08
init_mpps_7,-26852.49,0.08
init_mpps_8,-25283.19,0.09
init_mpps_9,-27722.79,0.09
updated_mpps_1,-74262.62,0.03
updated_mpps_10,-67891.51,0.03
updated_mpps_2,-80595.35,0.03
updated_mpps_3,-74126.28,0.02
updated_mpps_4,-74086.35,0.02
updated_mpps_5,-72024.23,0.02
updated_mpps_6,-65867.93,0.03
updated_mpps_7,-67642.49,0.01
updated_mpps_8,-67799.21,0.03
updated_mpps_9,-74047.71,0.02
