Problem ID, Objective, Elapsed Time
init_pmmq_1,1336.29,26.22
init_pmmq_10,-906.88,24.34
init_pmmq_2,-588.29,30.59
init_pmmq_3,815.02,40.47
init_pmmq_4,-406.07,8.42
init_pmmq_5,637.1,24.63
init_pmmq_6,1013.38,22.20
init_pmmq_7,1073.42,13.86
init_pmmq_8,2966.86,17.11
init_pmmq_9,807.05,25.52
updated_pmmq_1,-21618.58,1.44
updated_pmmq_10,-24869.04,1.25
updated_pmmq_2,-26876.06,0.91
updated_pmmq_3,-23670.54,2.66
updated_pmmq_4,-25076.5,0.89
updated_pmmq_5,-21496.98,1.48
updated_pmmq_6,-21835.33,1.42
updated_pmmq_7,-19809.13,3.05
updated_pmmq_8,-18095.39,2.25
updated_pmmq_9,-22638.83,0.92
