Problem ID, Objective, Elapsed Time
init_pmms_1,-18885.04,44.45
init_pmms_10,-17019.25,7.37
init_pmms_2,-18822.37,45.75
init_pmms_3,-16601.85,19.30
init_pmms_4,-17168.33,12.83
init_pmms_5,-16774.97,34.55
init_pmms_6,-15412.7,27.86
init_pmms_7,-16125.23,4.83
init_pmms_8,-19227.6,14.59
init_pmms_9,-17566.24,34.69
updated_pmms_1,-44534.04,0.33
updated_pmms_10,-41212.73,0.34
updated_pmms_2,-44381.42,0.39
updated_pmms_3,-42153.28,0.36
updated_pmms_4,-42536.68,0.34
updated_pmms_5,-42146.75,0.31
updated_pmms_6,-38077.23,0.36
updated_pmms_7,-40270.45,0.34
updated_pmms_8,-43163.33,0.36
updated_pmms_9,-41124.99,0.33
