Problem ID, Objective, Elapsed Time
init_pmpq_1,-37555.91,79.33
init_pmpq_10,-39485.54,61.88
init_pmpq_2,-40485.28,19.34
init_pmpq_3,-37387.05,34.77
init_pmpq_4,-42525.77,46.44
init_pmpq_5,-39826.86,5.58
init_pmpq_6,-39424.97,40.08
init_pmpq_7,-39544.39,67.95
init_pmpq_8,-38907.7,45.67
init_pmpq_9,-39062.17,10.38
updated_pmpq_1,-156037.4,4.47
updated_pmpq_10,-159054.7,4.50
updated_pmpq_2,-171231.5,16.80
updated_pmpq_3,-155367.1,3.84
updated_pmpq_4,-173967.8,3.95
updated_pmpq_5,-161109.2,4.27
updated_pmpq_6,-167491.2,5.39
updated_pmpq_7,-156500.8,3.78
updated_pmpq_8,-159327.8,4.48
updated_pmpq_9,-154816.9,5.19
