Problem ID, Objective, Elapsed Time
init_pmps_1,-56195.84,25.76
init_pmps_10,-58872.87,32.11
init_pmps_2,-62469.32,43.58
init_pmps_3,-57975.71,21.91
init_pmps_4,-54992.74,7.52
init_pmps_5,-56984.02,44.13
init_pmps_6,-53704.92,8.87
init_pmps_7,-56567.18,8.03
init_pmps_8,-60674.43,23.56
init_pmps_9,-59269.96,28.73
updated_pmps_1,-175869,0.56
updated_pmps_10,-180925.5,0.53
updated_pmps_2,-197293.4,0.52
updated_pmps_3,-186451.7,0.52
updated_pmps_4,-176390.8,0.70
updated_pmps_5,-178874.8,0.53
updated_pmps_6,-173805.3,0.50
updated_pmps_7,-175009.4,0.52
updated_pmps_8,-180376.6,0.89
updated_pmps_9,-183774.9,0.58
