Problem ID, Objective, Elapsed Time
init_ppmq_1,-231368.1,150.16
init_ppmq_10,-232548.4,142.98
init_ppmq_2,-231737.8,70.03
init_ppmq_3,-240173.4,21.00
init_ppmq_4,-244310.5,18.22
init_ppmq_5,-233843.2,58.77
init_ppmq_6,-220155.7,109.63
init_ppmq_7,-238108,52.19
init_ppmq_8,-233407,91.94
init_ppmq_9,-238853,21.75
updated_ppmq_1,-374314.2,0.70
updated_ppmq_10,-379007.4,0.72
updated_ppmq_2,-376281.3,0.72
updated_ppmq_3,-386256.8,0.78
updated_ppmq_4,-393757.9,0.72
updated_ppmq_5,-374905.6,0.69
updated_ppmq_6,-358055.5,0.69
updated_ppmq_7,-380275.8,1.00
updated_ppmq_8,-376545,0.72
updated_ppmq_9,-381059.9,0.72
