Problem ID, Objective, Elapsed Time
init_ppms_1,-248672.5,53.84
init_ppms_10,-239543.4,124.67
init_ppms_2,-250543.3,60.94
init_ppms_3,-249963.1,15.28
init_ppms_4,-252116.3,80.16
init_ppms_5,-250814.3,84.78
init_ppms_6,-251348.1,107.94
init_ppms_7,-244602,160.61
init_ppms_8,-249147.8,167.31
init_ppms_9,-248927.3,100.28
updated_ppms_1,-387363.1,0.20
updated_ppms_10,-377026.3,0.19
updated_ppms_2,-396982.2,0.44
updated_ppms_3,-391190,0.20
updated_ppms_4,-394240.4,0.22
updated_ppms_5,-397245.4,0.22
updated_ppms_6,-392578.5,0.23
updated_ppms_7,-387445.6,0.20
updated_ppms_8,-396549,0.22
updated_ppms_9,-390133.9,0.20
