Problem ID, Objective, Elapsed Time
init_pppq_1,-229377.1,47.80
init_pppq_10,-241923.4,17.30
init_pppq_2,-235486.3,15.03
init_pppq_3,-227740.8,82.72
init_pppq_4,-233971,61.52
init_pppq_5,-236400.4,99.78
init_pppq_6,-237747.4,89.02
init_pppq_7,-229987,129.95
init_pppq_8,-239836.5,91.53
init_pppq_9,-229452.5,83.16
updated_pppq_1,-603393.1,0.81
updated_pppq_10,-608688.1,0.77
updated_pppq_2,-604176,0.77
updated_pppq_3,-583182.2,0.70
updated_pppq_4,-574672.6,0.75
updated_pppq_5,-586673.2,0.75
updated_pppq_6,-593237.1,0.70
updated_pppq_7,-581147.4,0.80
updated_pppq_8,-596928.5,0.75
updated_pppq_9,-599878.5,0.78
