Problem ID, Objective, Elapsed Time
init_ppps_1,-250358,159.03
init_ppps_10,-262471.6,137.50
init_ppps_2,-250194.7,133.03
init_ppps_3,-251506.8,98.95
init_ppps_4,-245446,20.41
init_ppps_5,-253467.2,110.23
init_ppps_6,-245720.7,164.30
init_ppps_7,-252066.1,117.87
init_ppps_8,-252871.3,17.81
init_ppps_9,-249628.2,148.58
updated_ppps_1,-582040.6,0.22
updated_ppps_10,-632931.9,0.20
updated_ppps_2,-604572.4,0.23
updated_ppps_3,-614900.9,0.23
updated_ppps_4,-582485.7,0.22
updated_ppps_5,-604228.4,0.28
updated_ppps_6,-597517.5,0.20
updated_ppps_7,-598165.3,0.22
updated_ppps_8,-634355.1,0.23
updated_ppps_9,-621882.4,0.20
