Problem ID, Objective, Elapsed Time
init_mmms_1,-2963.04,0.69
init_mmms_10,-3202.78,0.80
init_mmms_2,-3032.61,0.64
init_mmms_3,-2947.15,0.80
init_mmms_4,-3193.33,3.39
init_mmms_5,-2912.34,0.72
init_mmms_6,-3013.06,0.63
init_mmms_7,-3587.28,0.78
init_mmms_8,-3679.28,4.59
init_mmms_9,-3262.56,3.53
updated_mmms_1,-9483.08,0.13
updated_mmms_10,-9021.44,0.08
updated_mmms_2,-8976.97,0.08
updated_mmms_3,-8442.15,0.09
updated_mmms_4,-9374.39,0.09
updated_mmms_5,-8539.8,0.09
updated_mmms_6,-8729.8,0.08
updated_mmms_7,-9971.21,0.09
updated_mmms_8,-9996.37,0.09
updated_mmms_9,-9419.57,0.08
