Problem ID, Objective, Elapsed Time
init_mmps_1,-2930.72,0.69
init_mmps_10,-3288.57,5.11
init_mmps_2,-3446.99,0.70
init_mmps_3,-3183.25,0.89
init_mmps_4,-2785.53,1.17
init_mmps_5,-2111.04,0.61
init_mmps_6,-3289.22,0.66
init_mmps_7,-2563.59,0.75
init_mmps_8,-2841.76,0.64
init_mmps_9,-2995.4,0.51
updated_mmps_1,-17441.07,0.08
updated_mmps_10,-19075.01,0.08
updated_mmps_2,-19328.71,0.08
updated_mmps_3,-19005.6,0.08
updated_mmps_4,-17068.21,0.08
updated_mmps_5,-16130.83,0.06
updated_mmps_6,-18295.88,0.08
updated_mmps_7,-16411.33,0.06
updated_mmps_8,-17492.83,0.08
updated_mmps_9,-18128.38,0.06
