Problem ID, Objective, Elapsed Time
init_mmmq_1,1383.5,0.06
init_mmmq_10,1716.962,0.08
init_mmmq_2,794.0522,0.11
init_mmmq_3,1680.139,0.08
init_mmmq_4,818.3269,0.06
init_mmmq_5,898.7892,0.19
init_mmmq_6,1590.895,0.06
init_mmmq_7,2123.941,0.03
init_mmmq_8,804.3825,0.08
init_mmmq_9,2153.738,0.06
updated_mmmq_1,-4010.053,0.08
updated_mmmq_10,-3542.383,0.06
updated_mmmq_2,-4394.984,0.05
updated_mmmq_3,-3215.574,0.23
updated_mmmq_4,-4953.691,0.19
updated_mmmq_5,-4504.411,0.22
updated_mmmq_6,-3531.397,0.06
updated_mmmq_7,-2596.869,0.05
updated_mmmq_8,-4254.346,0.05
updated_mmmq_9,-2544.985,0.20
