Problem ID, Objective, Elapsed Time
init_mmms_1,-7361.062,0.06
init_mmms_10,-6337.487,0.05
init_mmms_2,-8159.947,0.06
init_mmms_3,-7502.738,0.06
init_mmms_4,-7214.854,0.06
init_mmms_5,-7501.398,0.06
init_mmms_6,-7521.116,0.06
init_mmms_7,-7286.522,0.27
init_mmms_8,-7554.575,0.23
init_mmms_9,-7939.599,0.28
updated_mmms_1,-12085.69,0.05
updated_mmms_10,-10846.51,0.06
updated_mmms_2,-13760.18,0.06
updated_mmms_3,-12165.75,0.05
updated_mmms_4,-12171.14,0.06
updated_mmms_5,-12807.82,0.06
updated_mmms_6,-12819,0.05
updated_mmms_7,-12040.55,0.05
updated_mmms_8,-12322.36,0.06
updated_mmms_9,-12849.45,0.05
