Problem ID, Objective, Elapsed Time
init_mmpq_1,1400.444,0.26
init_mmpq_10,1240.633,0.06
init_mmpq_2,992.8695,0.06
init_mmpq_3,993.0541,0.20
init_mmpq_4,1377.924,0.06
init_mmpq_5,1538.55,0.05
init_mmpq_6,1675.314,0.22
init_mmpq_7,1675.905,0.05
init_mmpq_8,1212.129,0.06
init_mmpq_9,2213.64,0.16
updated_mmpq_1,-8315.648,0.06
updated_mmpq_10,-11583.29,0.23
updated_mmpq_2,-12307.6,0.09
updated_mmpq_3,-12169.26,0.17
updated_mmpq_4,-12137,0.20
updated_mmpq_5,-10072.31,0.05
updated_mmpq_6,-10507.61,0.06
updated_mmpq_7,-10758.98,0.06
updated_mmpq_8,-10947.46,0.30
updated_mmpq_9,-9599.294,0.05
