Problem ID, Objective, Elapsed Time
init_mmps_1,-8351.102,0.19
init_mmps_10,-8238.938,0.19
init_mmps_2,-8293.413,0.31
init_mmps_3,-8174.99,0.03
init_mmps_4,-7904.965,0.06
init_mmps_5,-8017.387,0.05
init_mmps_6,-7538.659,0.05
init_mmps_7,-7184.584,0.06
init_mmps_8,-7134.813,0.06
init_mmps_9,-7099.744,0.05
updated_mmps_1,-21430.89,0.06
updated_mmps_10,-20233.86,0.06
updated_mmps_2,-22346.52,0.08
updated_mmps_3,-23030.38,0.06
updated_mmps_4,-20019.1,0.06
updated_mmps_5,-21070.11,0.05
updated_mmps_6,-20312.21,0.06
updated_mmps_7,-18718.27,0.05
updated_mmps_8,-18608.44,0.05
updated_mmps_9,-20724.67,0.06
