Problem ID, Objective, Elapsed Time
init_mpmq_1,-19430.19,0.06
init_mpmq_10,-18014.41,0.03
init_mpmq_2,-19407.45,0.05
init_mpmq_3,-16919.93,0.06
init_mpmq_4,-19812.11,0.05
init_mpmq_5,-19185.93,0.03
init_mpmq_6,-20112.24,0.05
init_mpmq_7,-20952.98,0.05
init_mpmq_8,-17773.5,0.14
init_mpmq_9,-20482.94,0.05
updated_mpmq_1,-34971.08,0.05
updated_mpmq_10,-32766.12,0.05
updated_mpmq_2,-35491.41,0.05
updated_mpmq_3,-30619.82,0.06
updated_mpmq_4,-35268.66,0.03
updated_mpmq_5,-35696.43,0.05
updated_mpmq_6,-34319.42,0.05
updated_mpmq_7,-37830.95,0.05
updated_mpmq_8,-31897.9,0.05
updated_mpmq_9,-38861.67,0.05
