Problem ID, Objective, Elapsed Time
init_mpms_1,-29731.58,0.05
init_mpms_10,-27547.43,0.05
init_mpms_2,-28060.92,0.05
init_mpms_3,-27463.03,0.05
init_mpms_4,-29044.47,0.05
init_mpms_5,-26518.38,0.06
init_mpms_6,-26962.68,0.05
init_mpms_7,-28723.78,0.03
init_mpms_8,-27353.19,0.05
init_mpms_9,-29257.76,0.05
updated_mpms_1,-46560.6,0.03
updated_mpms_10,-42343.96,0.05
updated_mpms_2,-43762.59,0.03
updated_mpms_3,-42141.23,0.05
updated_mpms_4,-44370.65,0.05
updated_mpms_5,-40913.66,0.06
updated_mpms_6,-42736.25,0.05
updated_mpms_7,-44845.71,0.05
updated_mpms_8,-42634.44,0.05
updated_mpms_9,-45555.06,0.05
