Problem ID, Objective, Elapsed Time
init_mppq_1,-18683.62,0.03
init_mppq_10,-18998.86,0.03
init_mppq_2,-16735.9,0.03
init_mppq_3,-18378.27,0.28
init_mppq_4,-18016.7,0.05
init_mppq_5,-19137.56,0.05
init_mppq_6,-17821.84,0.13
init_mppq_7,-18827,0.05
init_mppq_8,-19347.41,0.05
init_mppq_9,-18275.41,0.03
updated_mppq_1,-60627.93,0.02
updated_mppq_10,-55951.09,0.05
updated_mppq_2,-53187.98,0.05
updated_mppq_3,-56054.61,0.05
updated_mppq_4,-55199.04,0.05
updated_mppq_5,-56396.54,0.03
updated_mppq_6,-53555.89,0.05
updated_mppq_7,-55590.07,0.05
updated_mppq_8,-56511.45,0.03
updated_mppq_9,-55779.68,0.05
