Problem ID, Objective, Elapsed Time
init_mpps_1,-28072.09,0.06
init_mpps_10,-29516.29,0.05
init_mpps_2,-27948.74,0.05
init_mpps_3,-29760.33,0.05
init_mpps_4,-25881.05,0.05
init_mpps_5,-27932.59,0.05
init_mpps_6,-28471.99,0.05
init_mpps_7,-28190.03,0.06
init_mpps_8,-27132.97,0.05
init_mpps_9,-25997.77,0.05
updated_mpps_1,-60895.79,0.05
updated_mpps_10,-72070.77,0.0
updated_mpps_2,-63961.52,0.0
updated_mpps_3,-68252.52,0.05
updated_mpps_4,-60267.12,0.03
updated_mpps_5,-67155.39,0.05
updated_mpps_6,-64727.28,0.05
updated_mpps_7,-68646.66,0.05
updated_mpps_8,-64303.86,0.03
updated_mpps_9,-59972.62,0.0
