Problem ID, Objective, Elapsed Time
init_pmmq_1,2970.684,1.77
init_pmmq_10,2730.95,0.30
init_pmmq_2,1912.744,0.28
init_pmmq_3,4184.922,0.23
init_pmmq_4,-396.3619,0.48
init_pmmq_5,4800.586,0.20
init_pmmq_6,1875.656,0.72
init_pmmq_7,5131.978,0.39
init_pmmq_8,7505.524,0.50
init_pmmq_9,4100.95,0.41
updated_pmmq_1,-18697.15,0.20
updated_pmmq_10,-18430.87,0.20
updated_pmmq_2,-18487.49,0.22
updated_pmmq_3,-16954.44,0.27
updated_pmmq_4,-23072.94,0.16
updated_pmmq_5,-14156.31,0.22
updated_pmmq_6,-20067.46,0.22
updated_pmmq_7,-15294.27,0.22
updated_pmmq_8,-11721,0.23
updated_pmmq_9,-16355.34,0.25
