Problem ID, Objective, Elapsed Time
init_pmms_1,-32544.77,0.22
init_pmms_10,-30724.85,0.20
init_pmms_2,-32420.7,0.20
init_pmms_3,-28597.97,0.22
init_pmms_4,-29985.46,0.22
init_pmms_5,-30464.1,0.22
init_pmms_6,-31214.06,0.23
init_pmms_7,-30049.12,0.20
init_pmms_8,-29657.9,0.20
init_pmms_9,-31870.16,0.28
updated_pmms_1,-54562.11,0.25
updated_pmms_10,-49962.28,0.33
updated_pmms_2,-53188.73,0.28
updated_pmms_3,-46774.72,0.34
updated_pmms_4,-50585.95,0.30
updated_pmms_5,-50114.39,0.22
updated_pmms_6,-51082.37,0.23
updated_pmms_7,-50586.01,0.28
updated_pmms_8,-51018.22,0.28
updated_pmms_9,-54017.06,0.28
