Problem ID, Objective, Elapsed Time
init_pmpq_1,-44646.09,1.00
init_pmpq_10,-41204.82,1.02
init_pmpq_2,-42713.83,0.84
init_pmpq_3,-41350.92,1.03
init_pmpq_4,-42941.12,1.30
init_pmpq_5,-39604.75,1.67
init_pmpq_6,-44961.93,1.05
init_pmpq_7,-48957.28,0.83
init_pmpq_8,-42828.69,1.03
init_pmpq_9,-44013.29,1.20
updated_pmpq_1,-161065.2,1.05
updated_pmpq_10,-148237.6,0.81
updated_pmpq_2,-157654.1,0.92
updated_pmpq_3,-157723.8,0.80
updated_pmpq_4,-154989.8,0.72
updated_pmpq_5,-149645.6,0.94
updated_pmpq_6,-164740,1.03
updated_pmpq_7,-168678.9,0.95
updated_pmpq_8,-161169.9,1.13
updated_pmpq_9,-164529.9,0.77
