Problem ID, Objective, Elapsed Time
init_pmps_1,-76314.45,1.02
init_pmps_10,-80842.61,0.83
init_pmps_2,-76072.72,0.81
init_pmps_3,-76678.55,1.02
init_pmps_4,-75233.94,1.23
init_pmps_5,-77361.16,1.02
init_pmps_6,-81114.1,0.95
init_pmps_7,-77412.85,0.98
init_pmps_8,-82756.91,1.02
init_pmps_9,-76916.11,0.95
updated_pmps_1,-180989,0.81
updated_pmps_10,-202879.4,0.95
updated_pmps_2,-187119.1,0.72
updated_pmps_3,-189318.7,0.73
updated_pmps_4,-184247.2,0.70
updated_pmps_5,-183807.4,0.81
updated_pmps_6,-199555.1,0.70
updated_pmps_7,-192573.5,0.80
updated_pmps_8,-199856.8,0.81
updated_pmps_9,-184553.6,1.00
