Problem ID, Objective, Elapsed Time
init_ppmq_1,-201074.9,0.67
init_ppmq_10,-227918.2,0.91
init_ppmq_2,-216953.5,0.88
init_ppmq_3,-217176,0.69
init_ppmq_4,-220274.7,1.41
init_ppmq_5,-217872.1,1.33
init_ppmq_6,-214279.1,0.69
init_ppmq_7,-226196.3,0.88
init_ppmq_8,-209443.3,0.88
init_ppmq_9,-214200.7,0.88
updated_ppmq_1,-324256.3,0.67
updated_ppmq_10,-365237.1,1.58
updated_ppmq_2,-348889.1,0.67
updated_ppmq_3,-355671.1,0.67
updated_ppmq_4,-356074,0.67
updated_ppmq_5,-350446,0.88
updated_ppmq_6,-347923.9,0.86
updated_ppmq_7,-363596.8,0.86
updated_ppmq_8,-334876.3,0.86
updated_ppmq_9,-345409.9,0.86
